ID,标签,问题,答案
10,0,你好！请问湖南历史选科考生大概多少分或者排名可以考虑报考贵校？,您好。今年的生源未知，无法判断，不过您可以登陆我校的招生网查阅历年的数据。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
11,0,想冲贵校今年的新校区（好像是阳江校区），填报志愿没有明细校区，学校是怎么划分的？,您好。具体的填报要求请查阅云南省招生部门编印的招生目录，其中有标明阳江校区招生的专业。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
12,0,你好，请问今年的调剂方式，服从调剂，是只能在所选的专业组里面调剂吗？如果分数过线了，但是所选专业组里面的专业都满人了，是否面临滑档风险？,您好。根据省招生部门的规定，专业调剂只能在专业组内进行，不能专业组间进行。如你能出档，则意味着你是在招生计划内的。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
13,0,报考时发现网络与新媒体这个专业没有上一年文科生报考的数据，请问今年文科生应如何报考。,您好。网络与新媒体专业是今年首次招生。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
14,0,贵校的转专业要求是什么,您好。转专业是有一定条件的，具体按照《广东海洋大学全日制本科学生转专业管理规定》执行，请咨询我校的教务处（登录广东海洋大学官网--机构设置--教务处）。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
15,0,你好，想问问贵校的阳江校区今年是否招收广东历史类考生？该校区有什么专业？广东历史类考生60000名有几率录取吗？,您好。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
16,0,请问广东历史生520排位3w6有望被贵校网络与新媒体专业录取吗,您好。今年的生源未知，无法判断，2020年我校的文科最低录取分数排位为3.5万，建议您填报冲一冲。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
17,0,请问广东历史生520排位3w6有望被贵校网络与新媒体专业录取吗,您好。今年的生源未知，无法判断，2020年我校的文科最低录取分数排位为3.5万，建议您填报冲一冲。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
18,0,贵州文科美术生，文化390，专业224.33有机会录取吗,您好。今年的生源未知，无法判断，不过您可以登陆我校的招生网查阅历年的数据。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
19,0,老师，您好。按照云南播音考生“文七专三”的招录规则，我的折后总分为74.723，请问报考贵校有希望吗？,您好。今年的生源未知，无法判断，不过您可以登陆我校的招生网查阅历年的数据。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
20,0,我高考成绩493，排名143651，选择物生地，有机会录取吗,您好。今年的生源未知，无法判断，不过您可以登陆我校的招生网查阅历年的数据。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
21,0,请问英语专业和英语（地方专项）专业有什么区别？专业是有本科和专科之分吗？,您好。我校只有本科专业。地方专项是有广东省教育厅组织实施，在考生高考报名时已经予以界定。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
22,0,新校区今年是否确定招生？那么它有的专业本校区也有这个专业，那我如何确定自己是去了新校区？新校区的生活条件如何？如果服从调剂，且达到院校要求，那我是否会面临退档的风险？,您好。我校阳江校区是广东海洋大学的一个校区，今年9月正式开学。在报考专业目录中对各校区的专业已经明确。阳江校区的招生热线：0662-3313136。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
23,0,贵校是第一年在广东招生，有无最低投档线？广东平行志愿，12万排名投了贵校，服从调剂，是否被退档,您好。我校一直在广东招生。今年的生源未知，无法判断，根据历年的录取数据，建议填报冲一冲。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
24,0,请问广东历史考生排名42021被贵校录取机会大吗,您好。今年的生源未知，无法判断，根据历年的录取数据，建议填报冲一冲。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
25,0,食品质量与安全在海大中有研究生点吗？,您好。有。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
26,0,你好，专业组内调剂是指在与你报考专业相关的专业中调剂吗？就是假如我报考海洋专业是不会调剂到园艺专业中去吗？,您好。专业组内调剂只是针对本专业组内的专业进行调剂，不会涉及其他专业组的专业。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
27,0,物理省排11w建议报考该学校吗？建议报考什么专业？,您好。今年的生源未知，无法判断，根据历年的录取数据，建议填报。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
28,0,您好，我想咨询一下贵校，我裸眼视力分别是4.6和4.4，能报报名贵校，如诺不能，可以做视力矫正来投档嘛,您好。我校对视力没有硬性要求，只是提醒考生“男性身高低于168CM、女性身高低于158CM、双眼裸视力低于4.7的考生请慎重报考。”更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
29,0,学校2021在江西提前批有哪些专业？招生有要求吗？,您好。我校在江西省有航海类专业的提前批，具体的填报要求请查阅江西省招生部门编印的招生目录。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
30,0,你好，你们学校今年是有阳江校区吗，今年招生吗？广东历史类五万有机会吗,您好。今年的生源未知，无法判断，2020年我校的文科最低录取分数排位为3.5万。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
31,0,你好，广东省今年历史类考生排名5w有机会去你们学校吗,您好。今年的生源未知，无法判断，2020年我校的文科最低录取分数排位为3.5万。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
32,0,历史类的排位31362，能录上汉语言文学,您好。今年的生源未知，无法判断，2020年我校的文科最低录取分数排位为3.5万，建议您填报。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
33,0,7w排名能录取吗,您好。按照历年的录取数据，建议您填报。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
34,0,你好，贵校今年的生源未知，录取分数未知，云南理科女400可以冲一下本科吗？,您好。今年的生源未知，无法判断，不过您可以登陆我校的招生网查阅历年的数据。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
35,0,内设专科的专业是哪些？可在哪里查询？,您好。我校没有内设专科专业。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
36,0,广东文科生509分43302名有机会报考吗,您好。今年的生源未知，无法判断，2020年我校的文科最低录取分数排位为3.5万，建议您填报冲一冲。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
37,0,请问物理考生11万能报贵校“政治学与行政学”吗,您好。按照历年的录取数据，建议您填报。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！您好。我校没有内设专科专业。更多招生资讯请登陆广东海洋大学招生网
38,0,4.6可以报社体吗会不会退档？,您好。我校对视力没有硬性要求，只是提醒考生“男性身高低于168CM、女性身高低于158CM、双眼裸视力低于4.7的考生请慎重报考。”更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
39,0,请问针对黑龙江省舞蹈专业招生，有没有联考成绩、身高或者文化课单科成绩的单独要求,您好。具体的填报要求请查阅黑龙江省招生部门编印的招生目录。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
40,0,广东文科考生509分43302名有机会被贵校录取英语师范专业吗？,您好。我校没有师范类专业。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
41,0,老师您好，湖南联考成绩228高考成绩415，省位次83441，请问一下报考贵校美术专业有希望吗？谢谢！,您好。今年的生源未知，无法判断，不过您可以登陆我校的招生网查阅历年的数据。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
42,0,广东高考物理考生高本科线30分有机会上贵校吗,您好。今年的生源未知，无法判断，不过您可以登陆我校的招生网查阅历年的数据。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
43,0,过一本线五分，可以报贵校吗，可转专业吗,您好。今年的生源未知，无法判断，不过您可以登陆我校的招生网查阅历年的数据。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
44,0,您好，福建考生物理组504分，超过本科线81分。报考该校录取可能性大吗？,您好。今年的生源未知，无法判断，不过您可以登陆我校的招生网查阅历年的数据。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
45,0,您好，福建考生物理组504分，报考本校录取可能性大吗？,您好。今年的生源未知，无法判断，不过您可以登陆我校的招生网查阅历年的数据。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
46,0,美术生综合分排名5135能进贵校吗,您好。今年的生源未知，无法判断，按照历年的录取数据，建议你填报我校。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
47,0,请问非艺术生可以报考本校的环境艺术专业吗,您好。我校艺术类专业不招非艺术生。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
48,0,今年广东物理考生，排名15万有几率进入该校吗,您好。今年的生源未知，无法判断，按照历年的录取数据，这个分数有点差距，不过建议你填报我校冲一冲。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
49,0,你好，请问术科221，文化431，折合504有机会进入贵校吗,您好。今年的生源未知，无法判断，按照历年的录取数据，建议你填报我校。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您心想事成！
50,0,想了解贵校哪些专业在哪些校区,您好。我校有湖光校区、海滨校区、阳江校区，各校区的招生计划可登陆我校的招生网查阅。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。祝您金榜题名！
51,0,你好，我是广东的考生我想问一下贵校1.转专业的条件2.能不能修双学位3.人力资源管理专业和健康服务与管理专业分别在哪个校区就读4.选专业的具体条件5.录取时是否设置专业级差和调档比例？最后想问问广东的考生录取几率大吗,1. 您好。转专业是有一定条件的，根据《广东海洋大学全日制本科学生转专业管理规定》中的“第四条学生应按省级招生部门核准的专业报到入学就读，应在该专业完成学业。未经学校批准发文，不得在包括入学前的各环节擅自变更就读专业。有下列情况之一者，可申请转专业：（一）学生确有兴趣和专长...[详细]
52,0,贵校招生简章是？,您好。我校的招生章程6月2日已在广东海洋大学招生网公布，请查阅。更多招生资讯请登陆广东海洋大学招生网（https://zsjy.gdou.edu.cn/）或“广海招就”微信公众号。谢谢您的咨询。欢迎报考10566广东海洋大学。祝您金榜题名！
53,0,贵校是否有专业极差,您好。我校没有专业级差。根据《广东海洋大学2021年夏季高考招生章程》第二十一条普通类（历史类/文科类、物理类/理科类）专业分档时，根据各省（区、市）投档规则出档后，实行“分数优先”的录取原则，根据考生投档总分排位情况从高到低排序录取。先安排排位高的考生的第一专业志愿，若该专...[详细]
54,0,服从调剂但是调剂比例不是1比1，我分数不够会被退档吗？,您好。不是很理解您的提问。根据《广东海洋大学2021年夏季高考招生章程》第十七条“在省（区、市）招生委员会按照普通类（历史类/文科类、物理类/理科类），艺体类（含音乐类、美术类、舞蹈类、广播电视编导类、体育类）分别划定的录取控制分数线上分类录取。”和第二十三条“考生所填报的所...[详细]
55,0,我想问一下广东理科12万左右有机会进入吗？有什么专业推荐一下,您好。您可以参考我校的历年数据进行填报。按照2019年的录取数据，建议您报考我校。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
56,0,音乐综合分为487被该校录取的机率大吗？,您好。我校2019年在广东省招收的音乐类专业学生执行的是校考成绩+文化成绩，2020年是统考成绩+文化成绩。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
57,0,我是广东理科考生，我分数488，排位122065，有机会被贵校录取吗?,您好。您可以参考我校的历年数据进行填报。按照2019年的录取数据，建议您报考我校冲一冲。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
58,0,老师您好！北京考生496，排名28170名，选科物地生，请问报考贵校有希望吗？谢谢！,您好。我校的历年的录取数据可以参考。由于今年的生源未知，能否被我校录取很难确定。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
59,0,您好，请问广东理科465排名150500，有机会进入贵校吗？？？,您好。按照2019年的录取情况，您的分数和排位与我校的录取分数线和排位都有一点点的距离。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
60,0,被提档了服从调剂，调剂到身高不够专业，会被退档吗？,您好。在录取的时候，我校会根据考生的体检情况进行录取，如不符合的则进行退档。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
61,0,广东省排位8万2千左右能否稳上贵校,您好。您可以参考我校的历年数据进行填报。按照2019年的录取数据，建议您报考我校。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
62,0,老师您好，云南舞蹈考生专业180，文化文科生457可以报考贵校吗？,您好。由于今年的生源未知，能否被我校录取很难确定。你可以参考我校的历年数据进行填报志愿。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
63,0,省排名8万2千左右能否稳上贵校,您好。您可以参考我校的历年数据进行填报。按照2019年的录取数据，建议您报考我校。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
64,0,请问今年播音主持专业在广东省招生人数？有男女生比例吗？,您好。2020年我校播音与主持艺术专业在广东省计划28人，没有设定男女比例。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
65,0,该校以分数优先还是专业优先，如果排名高于该校1000名左右且服从调剂，被录取的可能性大吗？,您好。我校是“分数优先 遵循志愿”的录取原则。由于今年的生源未知，能否被我校录取很难确定。你可以参考我校的历年数据进行填报志愿。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学...[详细]
66,0,排名3w，被贵校法学或汉语言文学的机会大吗,您好。由于今年的生源未知，能否被我校录取很难确定。你可以参考我校的历年数据进行填报志愿。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
67,0,"广州考生，文科总分531,省排23096,想报贵校""广东海洋大学‘湛江’的文科类，又怕被平行志愿中其他广州学校入取，怎么办？",您好。您可以参考我校的历年数据进行填报。按照2019年的录取数据，建议您报考我校。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
68,0,请问播音专业校考排名是省排名还是全国排名,您好。播主专业的校考排名是在广东省内的排名。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
69,0,老师请问福建理科考437分排名7w2有机会进入贵校么？,您好。您可以参考我校的历年数据进行填报。按照2019年的录取数据，建议您报考我校。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
70,0,老师您好我想咨询一下今年我播音与主持专业的综合分在73分报考广海稳不稳阿？,您好。由于今年的生源未知，能否被我校录取很难确定。你可以参考我校的历年数据进行填报志愿。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
71,0,你好！我是今年广东文科生，我的分数是517排位是31298，请问我有没有机会被贵校录取？,您好。您可以参考我校的历年数据进行填报。按照2019年的录取数据，建议您报考我校。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
72,0,老师好！女生512分排位93351能报哪些可考研的本科专业？谢谢,您好。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
73,0,广东文科39921有机会进该校的新闻学专业吗,您好。由于今年的生源未知，能否被我校录取很难确定。你可以参考我校的历年数据进行填报志愿。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
74,0,请问贵校有专业极差吗,您好。我校没有专业级差。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
75,0,请问云南省音乐统考193.3文化分449能报你们学校的音乐学吗,您好。由于今年的生源未知，能否被我校录取很难确定。你可以参考我校的历年数据进行填报志愿。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
76,0,广东文科排位26085报考稳吗？？,您好。您可以参考我校的历年数据进行填报。按照2019年的录取数据，建议您报考我校。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
77,0,理科排名102157报财务管理和会计录取机会大吗,您好。您可以参考我校的历年数据进行填报。按照2019年的录取数据，建议您报考我校。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
78,0,老师您好！我今年的排位排到2106，进入贵校的几率大吗？因为贵校上一年是以校考＋统考形式录取，所以今年的数据似乎没有显示,您好。我校2019年在安徽省招收的美术类专业学生执行的是校考成绩+文化成绩，2020年是统考成绩+文化成绩。由于生源未知，这个不好判断。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学...[详细]
79,0,福建理科生，500分，位次43743，有希望录取吗？近视可以吗？,您好。由于今年的生源未知，能否被我校录取很难确定。你可以参考我校的历年数据进行填报志愿。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
80,0,老师好，有看到贵校的录取原则，如果其他条件都符合，只因是低分投档，投档成功后还会有退档风险是吗？谢复！,您好。投档成功后，除非是不符合专业要求的才会被退档，如某些专业对身高、视力、视觉有要求。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
81,0,理科491排位118943今年能进吗,您好。您可以参考我校的历年数据进行填报。按照2019年的录取数据，建议您报考我校冲一冲。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
82,0,文科509排位36526今年能进吗,您好。您可以参考我校的历年数据进行填报。按照2019年的录取数据，建议您报考我校冲一冲。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
83,0,你好，请问广东排名150023，465分，进入贵校机会大吗？,您好。按照2019年的录取情况，您的分数和排位与我校的录取分数线和排位都有一点点的距离。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
84,0,老师您好！广东文科排位30024，有望到贵校法学专业就读吗？感谢,您好。您可以参考我校的历年数据进行填报。按照2019年的录取数据，建议您报考我校。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
85,0,请问我的分数是473分，排位139496。有机会被贵校录取吗,您好。您可以参考我校的历年数据进行填报。按照2019年的录取数据，建议您报考我校冲一冲。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
86,0,你好，请问贵校今年是否会扩招，扩招多少？,您好。我校今年的招生计划与2019年的持平。如需了解我校的招生信息，可登陆广东海洋大学招生网（http://zsjy.gdou.edu.cn）或者关注“广海招就”微信公众号了解。谢谢您的提问。欢迎报读广东海洋大学，学校代码10566。
